site,date,moisture,pH,conductivity,fungi,bacteria,f/b,carbon,nitrogen,c/n,name,mulchYears,lat,lon
min,NA,20,5.5,200,1800,600,3,1200,90,13.33,NA,NA,NA,NA
max,NA,80,9,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2025-11-17,34.21,6.70,50,2674.71,668.68,4.00,1671.70,111.45,15,"sh junction",1,47.5553853,-122.2505483
2,2025-11-17,35.58,6.40,80,2715.07,811.00,3.35,1763.03,126.35,13.95,"woodpecker nest",1,47.5544890,-122.2511333
3,2025-11-17,33.02,6.60,90,2326.79,618.51,3.76,1472.65,100.63,14.63,"trillium swale, north",0.5,47.5560202,-122.2521730
4,2025-11-17,22.22,5.50,20,1727.35,515.96,3.35,1121.66,80.39,13.95,"trillium swale, center (moist)",0,47.5558844,-122.2521237
5,2025-11-17,18.64,5.70,10,1099.29,517.31,2.13,808.30,70.05,11.54,"trillium swale, upland (dry)",0,47.5557441,-122.2521314
6,2025-11-24,27.78,6.10,40,1609.47,565.49,2.85,1087.48,83.37,13.04,"dogleg bench",0.75,47.5584536,-122.2513506
7,2025-11-24,25.00,6.50,30,941.06,529.34,1.78,735.20,68.62,10.71,"audubon teen site",0.75,47.5591885,-122.2498318 

